,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__degree,param_kpca__gamma,param_kpca__kernel,param_kpca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
31,0.20468735694885254,0.009138886910480376,0.016183773676554363,0.000158523116975198,2,5,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8344827586206897,0.8183908045977012,0.8367816091954023,0.8298850574712645,0.008181669158644675,22
32,0.5123716990152994,0.016324009701324468,0.0390013853708903,0.0020169338542340926,2,5,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.864367816091954,0.8574712643678161,0.8367816091954023,0.8528735632183908,0.01172188393929373,10
33,0.25763869285583496,0.008767338580897711,0.038883606592814125,0.016910040924256634,2,5,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.6022988505747127,0.5977011494252874,0.5632183908045977,0.5877394636015326,0.01744031674596331,73
34,0.334717591603597,0.01788203820796839,0.028769731521606445,0.0008863149884093897,2,5,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.5839080459770115,0.6229885057471264,0.5655172413793104,0.5908045977011495,0.023963978193274893,70
35,0.7953490416208903,0.021739085791782915,0.06838560104370117,0.0009521122497562788,2,5,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.5816091954022988,0.6275862068965518,0.5678160919540229,0.5923371647509578,0.02555299923453347,67
36,0.24517297744750977,0.04531857418114944,0.041575352350870766,0.022494380725396182,3,0.005,poly,50,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.7448275862068966,0.8045977011494253,0.664367816091954,0.7379310344827587,0.05745593665335017,51
37,0.31171337763468426,0.08125005834303185,0.028860727945963543,0.00160718634795674,3,0.005,poly,100,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.7632183908045977,0.8183908045977012,0.6896551724137931,0.7570881226053641,0.0527345610240161,47
38,0.6388617356618246,0.023416132010269694,0.05939261118570963,0.005173103547381809,3,0.005,poly,500,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8206896551724138,0.8459770114942529,0.7264367816091954,0.7977011494252872,0.05143811937728245,42
39,0.259919007619222,0.003968308716472616,0.02770344416300456,0.001266352995558137,3,0.005,sigmoid,50,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.40229885057471265,0.37471264367816093,0.34942528735632183,0.3754789272030652,0.021592341461464173,91
40,0.3210109869639079,0.003130710166424798,0.0298614501953125,0.001514738099660565,3,0.005,sigmoid,100,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.4,0.37471264367816093,0.34942528735632183,0.37471264367816093,0.020647039977482736,97
41,0.7991859912872314,0.024571408736718387,0.06966296831766765,0.0017492941513891057,3,0.005,sigmoid,500,"{'kpca__degree': 3, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.4,0.37471264367816093,0.35172413793103446,0.37547892720306514,0.019715985180488303,94
42,0.17162402470906576,0.006057281800331112,0.02374855677286784,0.0007472175794200189,3,0.01,poly,50,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.8689655172413793,0.8436781609195402,0.8574712643678161,0.8567049808429118,0.010337729933511149,8
43,0.19960776964823404,0.00396988811469222,0.024758656819661457,0.0025078383276515097,3,0.01,poly,100,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8873563218390804,0.8781609195402299,0.871264367816092,0.878927203065134,0.006591820128001994,2
44,0.5147030353546143,0.005320984017966929,0.04352402687072754,0.0023641734012487536,3,0.01,poly,500,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8781609195402299,0.8827586206896552,0.871264367816092,0.8773946360153256,0.004723688891163962,3
45,0.26282739639282227,0.003755528848529257,0.025764306386311848,0.0005068363418082825,3,0.01,sigmoid,50,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.37471264367816093,0.3724137931034483,0.3310344827586207,0.3593869731800767,0.020070192879247203,100
46,0.32418107986450195,0.00439609215830539,0.03021526336669922,0.0004126661280170838,3,0.01,sigmoid,100,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.3724137931034483,0.3724137931034483,0.3310344827586207,0.3586206896551724,0.01950639396376684,103
47,0.7846326033274332,0.00716107170673118,0.0709683100382487,0.0021164870520799534,3,0.01,sigmoid,500,"{'kpca__degree': 3, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.3724137931034483,0.3724137931034483,0.3310344827586207,0.3586206896551724,0.01950639396376684,103
48,0.5694317817687988,0.0930027718291532,0.021085580190022785,0.0013624915189676121,3,0.1,poly,50,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.832183908045977,0.8551724137931035,0.8505747126436781,0.845977011494253,0.009932169652732378,11
49,0.32814868291219074,0.04879934977914143,0.021806637446085613,0.0008101259916562613,3,0.1,poly,100,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8206896551724138,0.8344827586206897,0.8528735632183908,0.836015325670498,0.013183640256004037,18
50,0.47595834732055664,0.007273624732576357,0.04142324129740397,0.001161000225636697,3,0.1,poly,500,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.7931034482758621,0.8367816091954023,0.832183908045977,0.8206896551724139,0.019596493260604468,33
51,0.24897432327270508,0.0008708275291849487,0.027290741602579754,0.00128513339789361,3,0.1,sigmoid,50,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.49885057471264366,0.5494252873563218,0.503448275862069,0.5172413793103448,0.022834734752109315,88
52,0.33215928077697754,0.033129386505838646,0.028875986735026043,0.001301163759281007,3,0.1,sigmoid,100,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.5103448275862069,0.5494252873563218,0.5011494252873563,0.5203065134099617,0.020929502350571113,85
53,0.7495075066884359,0.007271906276397947,0.06935985883076985,0.002070641502250744,3,0.1,sigmoid,500,"{'kpca__degree': 3, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.5103448275862069,0.5471264367816092,0.5080459770114942,0.5218390804597701,0.01790547347976694,82
54,0.5196916262308756,0.02830298959881182,0.021559715270996094,0.0011678933711971994,3,0.5,poly,50,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.8091954022988506,0.8528735632183908,0.825287356321839,0.8291187739463601,0.018036172101057204,24
55,0.3349192142486572,0.02962293956870442,0.020864009857177734,0.00032199556743361994,3,0.5,poly,100,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8,0.8390804597701149,0.825287356321839,0.821455938697318,0.016182921135588377,32
56,0.4727531274159749,0.0017138930050590786,0.03836941719055176,0.001275841077144981,3,0.5,poly,500,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8068965517241379,0.8,0.8344827586206897,0.8137931034482758,0.014898254479098524,35
57,0.24836389223734537,0.006098893845632072,0.025438706080118816,0.00045463675921785846,3,0.5,sigmoid,50,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.5885057471264368,0.6,0.5678160919540229,0.5854406130268199,0.013316587890408264,76
58,0.3534402052561442,0.05337574780017131,0.03045932451883952,0.0004220906453718578,3,0.5,sigmoid,100,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.5977011494252874,0.6091954022988506,0.5701149425287356,0.5923371647509579,0.016399183570140016,64
59,0.7921679814656576,0.022357912363327133,0.07539876302083333,0.006332173883718265,3,0.5,sigmoid,500,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.6068965517241379,0.6206896551724138,0.5724137931034483,0.6,0.020302898543282398,52
60,0.5114274819691976,0.03504728896211649,0.018564860026041668,0.0003529825690435776,3,1,poly,50,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.8160919540229885,0.8597701149425288,0.8275862068965517,0.8344827586206897,0.01848634188783881,19
61,0.34687455495198566,0.019283739226703143,0.02469603220621745,0.005991854252774751,3,1,poly,100,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.7908045977011494,0.8482758620689655,0.8390804597701149,0.8260536398467432,0.025205952802143345,27
62,0.4857880274454753,0.034040125904159425,0.04095141092936198,0.003137407817810688,3,1,poly,500,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8022988505747126,0.8022988505747126,0.8367816091954023,0.8137931034482758,0.016255328303139055,35
63,0.2450679143269857,0.00291666664931524,0.024612983067830402,0.00041810781007067506,3,1,sigmoid,50,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.6091954022988506,0.6045977011494252,0.5724137931034483,0.5954022988505747,0.01636333831728935,61
64,0.3183449904123942,0.005660904683663072,0.028959035873413086,0.0005578769573329803,3,1,sigmoid,100,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.6160919540229886,0.6137931034482759,0.5678160919540229,0.5992337164750958,0.022235430082064262,55
65,0.7937807242075602,0.032881032432218814,0.06671571731567383,0.0009113081887186645,3,1,sigmoid,500,"{'kpca__degree': 3, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.5977011494252874,0.6252873563218391,0.5747126436781609,0.5992337164750957,0.020675459867022294,58
